x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.694472,0.779673,0.657388,0.730429,0.628728,0.655842,0.640551,0.597319,0.682345,0.584751,0.682438,0.552254,0.678111,0.472077,0.675592,0.421231,0.677323,0.377289,0.723357,0.564429,0.691475,0.546671,0.676237,0.611809,0.68414,0.640228,0.756996,0.594095,0.717932,0.589652,0.699551,0.647924,0.707584,0.666613,0.785885,0.636328,0.747067,0.628362,0.730086,0.667771,0.738013,0.681653,0
0.693126,0.780631,0.654719,0.733278,0.625785,0.65732,0.639035,0.596845,0.680559,0.584236,0.679566,0.552226,0.674603,0.474679,0.67181,0.424122,0.673273,0.380849,0.722027,0.563282,0.688144,0.544765,0.673255,0.611138,0.681729,0.640767,0.756538,0.592216,0.714131,0.589249,0.695937,0.648858,0.704649,0.669028,0.785484,0.633629,0.743467,0.629368,0.72691,0.668751,0.735627,0.683231,0
0.686198,0.782785,0.648028,0.736575,0.616018,0.659749,0.626713,0.600348,0.667876,0.585939,0.667066,0.555403,0.660728,0.477044,0.655545,0.428919,0.653846,0.387883,0.70918,0.567603,0.67786,0.542541,0.664369,0.607788,0.672653,0.638398,0.744514,0.595549,0.70412,0.588481,0.687583,0.646833,0.696628,0.666748,0.77537,0.635046,0.735262,0.624131,0.717938,0.663897,0.724963,0.6803,0
0.685092,0.782917,0.647033,0.737051,0.614892,0.662469,0.624564,0.600439,0.667757,0.58747,0.667821,0.55806,0.66158,0.47786,0.656089,0.428953,0.653931,0.385731,0.70938,0.568063,0.67525,0.548401,0.662625,0.614012,0.672408,0.64116,0.743314,0.594671,0.702086,0.591224,0.685966,0.650488,0.695644,0.669247,0.773133,0.633435,0.733245,0.6264,0.717648,0.666876,0.726188,0.682303,0
0.681706,0.783607,0.642993,0.736129,0.611849,0.662027,0.623,0.601831,0.664483,0.586844,0.662515,0.558917,0.655865,0.481022,0.64853,0.433656,0.644042,0.39291,0.702955,0.570089,0.672841,0.549625,0.659804,0.613628,0.667982,0.641887,0.737009,0.596141,0.700006,0.59067,0.683363,0.648838,0.691875,0.66756,0.767847,0.634049,0.731289,0.623387,0.714653,0.663975,0.722092,0.679979,0
0.679477,0.782287,0.641673,0.734195,0.611146,0.661467,0.621926,0.602509,0.662757,0.58725,0.661986,0.560091,0.655367,0.481475,0.649257,0.434984,0.646758,0.393529,0.701752,0.570581,0.671262,0.548024,0.6586,0.61246,0.66654,0.641576,0.735675,0.596161,0.699278,0.588966,0.683215,0.647801,0.691055,0.668125,0.76714,0.633447,0.732241,0.619559,0.71515,0.660716,0.721122,0.678154,0
0.668561,0.780502,0.629376,0.736289,0.59538,0.661662,0.606344,0.600029,0.648833,0.586196,0.644997,0.559489,0.63785,0.483759,0.630842,0.436923,0.62761,0.396298,0.686166,0.570289,0.658044,0.5497,0.647232,0.61628,0.656692,0.645591,0.721157,0.595704,0.686109,0.587992,0.67018,0.647926,0.678867,0.667729,0.752711,0.632182,0.718849,0.614866,0.700567,0.656866,0.705584,0.675233,0
0.668694,0.78047,0.628738,0.73644,0.596229,0.663113,0.608203,0.604125,0.648715,0.588428,0.643445,0.560105,0.63715,0.483918,0.631413,0.436582,0.628172,0.394152,0.684479,0.568764,0.654273,0.555048,0.643758,0.621118,0.653219,0.646826,0.719509,0.593151,0.684087,0.588904,0.668955,0.649555,0.67765,0.66719,0.751894,0.629779,0.715878,0.619438,0.69956,0.662543,0.706897,0.677548,0
0.640425,0.780181,0.598539,0.735524,0.565682,0.663924,0.575395,0.604662,0.614014,0.588432,0.609562,0.558053,0.601599,0.490035,0.595035,0.444078,0.591956,0.403143,0.649718,0.564144,0.620297,0.552512,0.61265,0.619789,0.621821,0.650208,0.684192,0.586248,0.649894,0.586358,0.63727,0.64781,0.645447,0.6681,0.715391,0.621187,0.679794,0.616234,0.665697,0.658729,0.672536,0.673288,0
0.633787,0.778533,0.593696,0.736136,0.558302,0.663029,0.567171,0.602521,0.607056,0.588502,0.600957,0.556737,0.59146,0.489034,0.584375,0.444026,0.580541,0.403723,0.640896,0.563241,0.612689,0.550625,0.603322,0.618585,0.611534,0.64666,0.675522,0.586325,0.641279,0.585386,0.628307,0.647294,0.636504,0.665832,0.706512,0.623074,0.671527,0.616038,0.657176,0.659195,0.664671,0.673821,0
0.617031,0.774122,0.578442,0.733196,0.542072,0.664089,0.550195,0.605604,0.589612,0.591671,0.582598,0.558267,0.573164,0.490105,0.566361,0.44569,0.563063,0.407525,0.622026,0.563283,0.59415,0.5495,0.585846,0.615737,0.593958,0.644181,0.656375,0.583911,0.621731,0.584728,0.610529,0.645485,0.619396,0.66458,0.686662,0.617626,0.650295,0.612098,0.636944,0.654634,0.644536,0.670641,0
0.61437,0.769868,0.575506,0.73495,0.537553,0.662032,0.546611,0.600599,0.586621,0.588362,0.579846,0.552333,0.570674,0.486244,0.564673,0.441599,0.561844,0.403063,0.619584,0.556081,0.589813,0.549714,0.581475,0.619398,0.590313,0.647192,0.65406,0.577124,0.618963,0.582616,0.606483,0.645504,0.614761,0.664573,0.684563,0.611935,0.649356,0.608873,0.634977,0.653888,0.6429,0.669146,0
0.607764,0.751578,0.564613,0.714848,0.529396,0.645674,0.539482,0.58795,0.576556,0.570071,0.566912,0.54381,0.55989,0.471838,0.556911,0.425675,0.557113,0.385037,0.605842,0.546775,0.580343,0.537818,0.574272,0.601127,0.582712,0.627417,0.638724,0.565536,0.604429,0.574544,0.595853,0.6326,0.604931,0.649499,0.666449,0.596342,0.629855,0.601634,0.62084,0.642753,0.630222,0.654703,0
0.603223,0.743591,0.561276,0.713044,0.524349,0.645715,0.534997,0.588593,0.574244,0.573968,0.562899,0.537802,0.557667,0.466762,0.554558,0.421886,0.553468,0.381207,0.602152,0.540123,0.573055,0.53424,0.568144,0.600007,0.57821,0.625926,0.634394,0.559536,0.59939,0.573491,0.590894,0.632715,0.600479,0.647943,0.662137,0.591131,0.626829,0.596876,0.617372,0.63835,0.626651,0.649894,0
0.602751,0.741763,0.561851,0.711463,0.527028,0.644516,0.538601,0.587324,0.577928,0.574948,0.561494,0.538861,0.557045,0.470256,0.555267,0.425925,0.554799,0.385803,0.600875,0.539414,0.573357,0.529866,0.569205,0.595937,0.577859,0.624716,0.633575,0.557333,0.600012,0.574701,0.591917,0.631991,0.600129,0.646904,0.660496,0.587758,0.627249,0.602156,0.618517,0.641177,0.626779,0.650897,0
0.601594,0.740437,0.561572,0.710711,0.528218,0.64573,0.540034,0.588471,0.578001,0.573886,0.563012,0.540888,0.558697,0.472086,0.556559,0.425982,0.555636,0.385424,0.602309,0.541655,0.574357,0.536323,0.57015,0.603845,0.579486,0.630776,0.634523,0.559744,0.601452,0.575717,0.592743,0.633994,0.600939,0.648944,0.661079,0.590213,0.628668,0.601331,0.618919,0.641584,0.626998,0.651843,0
0.601029,0.737985,0.560758,0.709805,0.526924,0.644185,0.539061,0.588387,0.577274,0.575084,0.563008,0.540973,0.558364,0.471659,0.556726,0.426223,0.556547,0.38619,0.602367,0.542285,0.575688,0.538238,0.571116,0.602935,0.580214,0.628959,0.634239,0.560352,0.601699,0.578866,0.592604,0.634074,0.600802,0.647608,0.660581,0.590163,0.628419,0.602722,0.61808,0.641721,0.625573,0.651598,0
0.600571,0.73741,0.560357,0.709072,0.527387,0.645737,0.538097,0.590841,0.575084,0.576771,0.564428,0.542378,0.559291,0.472235,0.557146,0.428009,0.557,0.388511,0.602926,0.543742,0.574615,0.536922,0.569369,0.600429,0.578428,0.627979,0.633976,0.562086,0.599063,0.579672,0.590231,0.634177,0.598564,0.64809,0.659155,0.591822,0.624809,0.60572,0.615636,0.643432,0.623679,0.652357,0
0.599761,0.737141,0.560063,0.709797,0.525617,0.646061,0.535553,0.592318,0.573108,0.580963,0.563545,0.543358,0.558243,0.474351,0.55548,0.432121,0.555072,0.393941,0.601194,0.544334,0.572149,0.537425,0.566617,0.599511,0.575969,0.62594,0.63156,0.562206,0.595747,0.581273,0.587359,0.635687,0.596712,0.648565,0.655762,0.591702,0.62037,0.608472,0.61153,0.646572,0.620363,0.654976,0
0.599425,0.740308,0.55948,0.712056,0.525438,0.649097,0.535471,0.594363,0.572758,0.584048,0.563543,0.547861,0.557024,0.478642,0.554585,0.435304,0.554335,0.397253,0.601267,0.548132,0.570747,0.542338,0.566256,0.602954,0.576768,0.626757,0.631395,0.566051,0.59431,0.586628,0.586579,0.639057,0.596592,0.650097,0.65496,0.595569,0.618283,0.614607,0.61096,0.651199,0.621059,0.657859,0
0.60082,0.740165,0.56024,0.711565,0.525338,0.648837,0.533875,0.595497,0.571268,0.585719,0.562731,0.547556,0.556885,0.476831,0.554834,0.434628,0.554725,0.396471,0.6005,0.548316,0.573059,0.542383,0.568039,0.602096,0.576307,0.628094,0.630729,0.566776,0.595499,0.589025,0.587445,0.640535,0.596019,0.652549,0.654732,0.596524,0.618957,0.616303,0.610605,0.652321,0.619026,0.659894,0
0.60117,0.742155,0.560469,0.714566,0.525404,0.651803,0.533769,0.597388,0.571114,0.586744,0.563301,0.548982,0.556701,0.480094,0.553971,0.437608,0.553202,0.39897,0.60048,0.54872,0.570197,0.54398,0.56608,0.605489,0.576093,0.630682,0.630492,0.566139,0.594367,0.586953,0.58714,0.640893,0.596813,0.652569,0.654487,0.59537,0.618623,0.614765,0.611156,0.652703,0.620619,0.659723,0
0.604338,0.746872,0.56366,0.720602,0.529454,0.657562,0.539047,0.602578,0.575433,0.591391,0.566513,0.557152,0.560241,0.487195,0.5582,0.443219,0.557266,0.40352,0.604368,0.556412,0.577552,0.557214,0.574815,0.614888,0.583853,0.638154,0.634716,0.573805,0.602025,0.594966,0.594832,0.645493,0.602616,0.657739,0.658543,0.601986,0.625604,0.61984,0.617399,0.656048,0.624924,0.664294,0
0.613071,0.744109,0.573112,0.71753,0.538233,0.65655,0.547195,0.603583,0.583835,0.591438,0.574183,0.553232,0.569501,0.485507,0.567872,0.441829,0.568405,0.402347,0.61179,0.552181,0.586301,0.555398,0.583971,0.611988,0.594157,0.633943,0.642396,0.569873,0.611176,0.590549,0.603986,0.639976,0.61193,0.652019,0.667451,0.5991,0.635521,0.614432,0.627183,0.650401,0.633911,0.660253,0
0.61991,0.743704,0.577459,0.718448,0.542367,0.656725,0.552009,0.603257,0.588331,0.593501,0.57711,0.555708,0.572032,0.486766,0.57095,0.442696,0.571695,0.40275,0.61419,0.553597,0.589089,0.55819,0.586585,0.614463,0.595983,0.637587,0.644632,0.570298,0.613798,0.594366,0.606501,0.643933,0.614212,0.655476,0.669737,0.598497,0.638126,0.61816,0.629712,0.654031,0.63674,0.662563,0
0.63001,0.74137,0.591355,0.714177,0.557468,0.653142,0.56815,0.60443,0.605913,0.591454,0.593136,0.553486,0.588155,0.487837,0.586903,0.444783,0.587092,0.405896,0.629842,0.551117,0.605083,0.561778,0.602802,0.616137,0.612272,0.635633,0.660001,0.567891,0.631417,0.591816,0.623142,0.640423,0.630105,0.651186,0.685087,0.596293,0.656315,0.614584,0.64469,0.649025,0.648214,0.657326,0
0.640912,0.740909,0.600418,0.713626,0.566584,0.651114,0.579184,0.602722,0.616994,0.591418,0.600635,0.552292,0.597797,0.487915,0.59817,0.445377,0.600065,0.405943,0.637731,0.551384,0.616338,0.554703,0.612381,0.612158,0.620567,0.636934,0.668177,0.569072,0.642507,0.586544,0.632785,0.636258,0.63928,0.650893,0.693798,0.598273,0.669288,0.607849,0.655388,0.643479,0.657306,0.656343,0
0.655382,0.747617,0.614857,0.716953,0.582257,0.652681,0.595902,0.606358,0.632388,0.595588,0.61648,0.557603,0.613101,0.492183,0.613253,0.449697,0.613841,0.409971,0.652928,0.55564,0.627635,0.56007,0.624548,0.616639,0.633836,0.637667,0.68312,0.573391,0.654741,0.589658,0.646692,0.640895,0.654016,0.654218,0.708606,0.602658,0.680761,0.614881,0.669013,0.652128,0.672914,0.662032,0
0.664849,0.746037,0.623539,0.714025,0.589934,0.653627,0.602814,0.606245,0.641383,0.594897,0.623949,0.559354,0.621629,0.49139,0.621679,0.449702,0.623743,0.410197,0.660403,0.560529,0.639885,0.555629,0.635756,0.611542,0.643694,0.636186,0.691365,0.578334,0.667458,0.588598,0.659,0.638085,0.665103,0.652434,0.719579,0.606075,0.695046,0.610373,0.682607,0.644872,0.68444,0.656124,0
0.665932,0.745589,0.624739,0.715085,0.591991,0.653122,0.60712,0.604605,0.646668,0.594128,0.625884,0.556993,0.623178,0.491823,0.623492,0.451435,0.626187,0.412345,0.663446,0.55775,0.641001,0.553827,0.636116,0.612959,0.643751,0.636396,0.694937,0.575135,0.668321,0.588793,0.659152,0.641132,0.665325,0.653569,0.722753,0.603001,0.695755,0.611931,0.684488,0.649461,0.68894,0.659196,0
0.668036,0.745081,0.626806,0.715661,0.594884,0.653281,0.610693,0.60406,0.650219,0.593466,0.6277,0.556719,0.625471,0.492192,0.625904,0.451602,0.628521,0.412879,0.664889,0.55743,0.642839,0.556558,0.637782,0.615295,0.645393,0.639765,0.696384,0.574985,0.671231,0.588486,0.660647,0.640316,0.666156,0.654023,0.724392,0.603258,0.699872,0.608734,0.68511,0.646813,0.687004,0.65968,0
0.683926,0.749795,0.642864,0.716669,0.610574,0.655724,0.624843,0.608935,0.664406,0.597602,0.643859,0.571029,0.640189,0.496212,0.640375,0.452202,0.642583,0.412312,0.679338,0.57563,0.660783,0.556152,0.656107,0.610546,0.663731,0.638816,0.710378,0.592974,0.689617,0.587046,0.678944,0.637319,0.684078,0.657446,0.739796,0.618914,0.719872,0.606671,0.702925,0.641581,0.701626,0.659474,0
0.684158,0.746369,0.642184,0.716412,0.610437,0.652166,0.62701,0.603209,0.668349,0.593316,0.642569,0.563543,0.640109,0.49382,0.639936,0.451153,0.642228,0.412518,0.678485,0.568239,0.659449,0.553819,0.653464,0.610512,0.659437,0.638445,0.709601,0.586338,0.688533,0.585029,0.677431,0.636721,0.681458,0.654146,0.738215,0.613735,0.715857,0.607351,0.701463,0.644338,0.703165,0.659685,0
0.693054,0.74873,0.652811,0.718458,0.621995,0.653192,0.640097,0.60141,0.682399,0.59485,0.654471,0.564885,0.651953,0.495293,0.652717,0.452448,0.655259,0.413329,0.690534,0.570451,0.673307,0.55171,0.667921,0.610783,0.674969,0.638671,0.721873,0.589239,0.703461,0.583485,0.690762,0.637003,0.6949,0.658539,0.750998,0.617942,0.736562,0.601681,0.716839,0.63731,0.713214,0.657827,0
0.70492,0.748418,0.664952,0.71832,0.635934,0.657043,0.654009,0.608831,0.692414,0.596757,0.665669,0.564976,0.663575,0.492204,0.663976,0.448444,0.66618,0.408811,0.701473,0.572615,0.688554,0.557624,0.683242,0.611602,0.688289,0.637602,0.732725,0.591322,0.718951,0.586034,0.706795,0.636263,0.708344,0.654895,0.762266,0.618392,0.750056,0.603531,0.732256,0.639149,0.727701,0.657634,0
0.70894,0.749706,0.669175,0.718031,0.642276,0.656145,0.660905,0.607646,0.699977,0.594795,0.671161,0.570652,0.668232,0.493504,0.66965,0.44915,0.67345,0.409663,0.705568,0.579464,0.697429,0.558007,0.691177,0.610617,0.693914,0.638008,0.736426,0.597064,0.726633,0.58525,0.714428,0.63533,0.714219,0.656704,0.765918,0.622328,0.754457,0.604235,0.737411,0.640052,0.732052,0.659835,0
0.713959,0.748709,0.672397,0.71923,0.643938,0.656002,0.664822,0.607923,0.703895,0.595194,0.672519,0.565587,0.670368,0.491777,0.671557,0.448258,0.675401,0.409031,0.707831,0.572679,0.699015,0.554598,0.692401,0.607254,0.695884,0.63252,0.738726,0.590344,0.727379,0.581658,0.714499,0.631405,0.715502,0.649897,0.767102,0.616722,0.752998,0.602584,0.736923,0.638615,0.734666,0.656397,0
0.720807,0.744693,0.679348,0.716172,0.649374,0.6537,0.671627,0.607009,0.710819,0.592432,0.680049,0.559033,0.676309,0.488993,0.676972,0.446103,0.679488,0.408959,0.716455,0.566385,0.709647,0.543407,0.706231,0.588587,0.710329,0.611909,0.747823,0.584931,0.735215,0.580789,0.723558,0.630947,0.724348,0.650121,0.776178,0.611754,0.761606,0.600287,0.745626,0.637532,0.742255,0.655343,0
0.729933,0.735087,0.688851,0.710734,0.65678,0.648505,0.680051,0.597272,0.723399,0.583914,0.687726,0.553696,0.686286,0.482261,0.687365,0.438081,0.689523,0.399092,0.725594,0.56069,0.712005,0.545459,0.708724,0.602621,0.714719,0.631525,0.757721,0.578658,0.743744,0.571494,0.732254,0.625996,0.733726,0.647602,0.787503,0.604928,0.775385,0.58435,0.758175,0.622081,0.753718,0.642488,0
0.733207,0.734814,0.69209,0.709033,0.661623,0.647775,0.683639,0.596716,0.725983,0.583069,0.689127,0.553416,0.689454,0.480409,0.691559,0.435761,0.693823,0.395439,0.726022,0.561218,0.716026,0.538498,0.710756,0.593351,0.714002,0.622599,0.758031,0.57981,0.749181,0.561837,0.735786,0.614703,0.734607,0.638376,0.787579,0.607798,0.779431,0.581919,0.761082,0.619889,0.754568,0.643569,0
0.747131,0.726547,0.706395,0.702941,0.674584,0.642318,0.697266,0.590428,0.740276,0.577793,0.700971,0.548971,0.701326,0.475025,0.703392,0.431076,0.705528,0.390793,0.738701,0.554416,0.728588,0.538101,0.724504,0.594119,0.728197,0.621511,0.771915,0.572126,0.763956,0.560093,0.751576,0.612526,0.750542,0.633311,0.802943,0.599163,0.792018,0.583614,0.775418,0.620526,0.771209,0.638398,0
0.750217,0.72519,0.708493,0.703099,0.677952,0.64081,0.699982,0.586737,0.7439,0.572267,0.703957,0.542675,0.704738,0.475031,0.706537,0.43102,0.70846,0.3901,0.743831,0.546336,0.730008,0.530455,0.724883,0.592837,0.729941,0.622307,0.777288,0.564244,0.764472,0.556672,0.751024,0.61467,0.752895,0.636844,0.807963,0.593053,0.797135,0.574801,0.777753,0.616863,0.773565,0.638414,0
0.762316,0.720598,0.722018,0.697944,0.690014,0.634839,0.716392,0.585486,0.759599,0.571148,0.71695,0.532649,0.716966,0.470191,0.7182,0.425597,0.718209,0.384493,0.758615,0.53032,0.739879,0.53283,0.73642,0.59573,0.74398,0.620383,0.79188,0.547709,0.776242,0.558197,0.762071,0.613216,0.765445,0.629099,0.821711,0.577778,0.808511,0.579144,0.789349,0.618291,0.787682,0.631381,0
0.774697,0.72094,0.732537,0.699498,0.700718,0.638662,0.729847,0.590715,0.772476,0.572162,0.72447,0.532794,0.724242,0.464969,0.724862,0.419409,0.727406,0.376171,0.765301,0.535086,0.762463,0.51214,0.754549,0.576493,0.756511,0.609279,0.799953,0.55394,0.797754,0.538172,0.77961,0.599106,0.777368,0.62176,0.831397,0.584008,0.823337,0.571304,0.804079,0.615265,0.800631,0.632452,0
0.776615,0.723188,0.735075,0.702507,0.702033,0.641082,0.729028,0.593119,0.770598,0.57451,0.724251,0.539191,0.723096,0.46262,0.725862,0.415658,0.729685,0.37178,0.765645,0.542353,0.759403,0.528666,0.751682,0.592078,0.754486,0.615313,0.800989,0.560704,0.795185,0.549096,0.778668,0.607459,0.777641,0.62223,0.832823,0.589071,0.823159,0.580065,0.803777,0.622778,0.799855,0.634367,0
0.778547,0.725758,0.735706,0.704188,0.70098,0.642786,0.728079,0.595299,0.771961,0.57775,0.725403,0.539941,0.723717,0.463106,0.726213,0.416043,0.729626,0.37167,0.767019,0.542395,0.759566,0.532158,0.752542,0.595917,0.755603,0.619594,0.803041,0.560967,0.795941,0.552971,0.780488,0.610706,0.780116,0.625954,0.836165,0.589503,0.826997,0.578481,0.806624,0.621861,0.801327,0.636662,0
